id,date,from,message,reply_to_message_id
39,2020-02-23 17:28:35,Anil Kumar ( 815014225.0 ),"L
K",
48,2020-02-24 20:14:49,Sayan Ghosh ( 1019444942.0 ),Does Wipro also have proctored assessments like tcs?,
51,2020-02-24 20:18:58,Refrin ( 757416344.0 ),Yes,
52,2020-02-24 20:19:09,Refrin ( 757416344.0 ),Those are called just assessments,
53,2020-02-24 20:19:25,Refrin ( 757416344.0 ),There will be a total 3 assessments,
54,2020-02-24 20:19:58,Anil Kumar ( 815014225.0 ),When they will conduct,
57,2020-02-24 22:23:58,Refrin ( 757416344.0 ),Will share that info soon,
58,2020-02-24 22:27:11,muthu ( 911182215.0 ),What assessment?,
59,2020-02-24 22:27:16,muthu ( 911182215.0 ),Are u saying pjp_?,
60,2020-02-24 22:27:43,muthu ( 911182215.0 ),Or like tcs xplore those clear that will get bonus?,
61,2020-02-24 22:31:30,Refrin ( 757416344.0 ),No bonus. It's like get-in assessment.,
62,2020-02-24 22:31:37,muthu ( 911182215.0 ),👍,
63,2020-02-24 22:32:26,Refrin ( 757416344.0 ), Wipro NLTH Pipeline\nThis group is for 2020 Wipro phase 1 and phase 2 selected candidates. They will undergo an online pipeline course by Wipro very soon. All the best.\n https://t.me/WiproNLTHPipeline \n\n\n\n\nShare this link to your friends and other colleagues and get more people come on board.,
70,2020-02-25 17:54:42,roger ( 654364620.0 ),"Hello
I'm facing problem in candidate background verification although I entered all details and uploaded all supporting documents.
   Can anyone tell what should I do ?",
71,2020-02-25 17:55:29,roger ( 654364620.0 ),I got selected in phase 2 and got selection mail on 13 feb,
72,2020-02-25 18:06:46,Refrin ( 757416344.0 ),You will receive a mail when to upload documents. Wait till then.,70.0
73,2020-02-25 18:12:46,roger ( 654364620.0 ),"I got an offer and after accepting that offer then I received another mail telling that you have to completely fill all educational details and documents such as adhar,pan, passport etc within 20 days of the receipt of that mail",
75,2020-02-25 18:15:32,roger ( 654364620.0 ),Anyone having same issue??,
76,2020-02-25 21:20:42,Sayan Ghosh ( 1019444942.0 ),Log in into the given website upload all the documents and fill all the details and then submit,74.0
77,2020-02-26 00:15:32,roger ( 654364620.0 ),Bhai yhi kiya h yr,
78,2020-02-26 00:17:11,Sayan Ghosh ( 1019444942.0 ),Agar submit ho gya toh problem kya ho raha hai?,77.0
82,2020-02-26 10:26:28,roger ( 654364620.0 ),Abhi bhi fill verification details likha hua aa rha h login krne pr,
83,2020-02-26 11:33:16,Sayan Ghosh ( 1019444942.0 ),"Woh Mera bhi dikha Raha hai
But ekbar submit hogya matlab aur submit nhi karna hai I think",82.0
84,2020-02-26 15:34:45,Srijith ( 868834488.0 ),In wipro pjp course pjp core stream is different for everyone or same,
85,2020-02-26 15:35:24,Nani.. ( 935902225.0 ),Different,
86,2020-02-26 15:35:36,Srijith ( 868834488.0 ),Ok,
87,2020-02-26 15:35:49,Srijith ( 868834488.0 ),Wat is ur stream,85.0
88,2020-02-26 17:38:39,akki ( 685211740.0 ),Any one having .net in pjp core stream,
89,2020-02-26 17:41:53,roger ( 654364620.0 ),In PBLApp login the I'd is our resume no. And password must b same ??,
90,2020-02-26 17:42:28,roger ( 654364620.0 ),I have a problem in login also,
99,2020-02-26 23:06:12,Himanshu Jadon ( 842861536.0 ),Wtf is pipeline course now?,
102,2020-02-26 23:07:46,,PJP,99.0
106,2020-02-26 23:31:46,Himanshu Jadon ( 842861536.0 ),Oh oky,102.0
107,2020-02-26 23:32:20,Himanshu Jadon ( 842861536.0 ),Now we r having two telegram groups and one WhatsApp group for our pjp,
108,2020-02-26 23:32:23,Himanshu Jadon ( 842861536.0 ),😂,
127,2020-02-27 07:59:13,muthu ( 911182215.0 ),Anybody got similar situation where clarify tab is present but when clicking it says failure link?,
143,2020-02-28 05:58:34,Refrin ( 757416344.0 ),Clarify link ? Can u send a picture ?,127.0
152,2020-02-29 07:12:47,Refrin ( 757416344.0 ),Phase 2 interviews are still in progress. Will start the PJP once these are completed.,
154,2020-02-29 07:14:22,ka;hoil ( 730583697.0 ),I have received PJP mail and I was selected in phase 2 interviews.,152.0
155,2020-02-29 07:14:52,Refrin ( 757416344.0 ),"Yeah, all will receive gradually.",154.0
156,2020-02-29 07:27:27,Shobhit Verma ( 626940960.0 ),What is pjp bro?,154.0
157,2020-02-29 07:30:22,ka;hoil ( 730583697.0 ),"pre joining program, it will be coding assessment and platform to learn about coding  enviroment of wipro",156.0
162,2020-02-29 10:41:37,Sagar Chaudhary ( 895925977.0 ),I attended the interview on 24 feb i received the bvg tab when i will get the LOI?,
166,2020-02-29 14:18:01,Group Help ( 162726413.0 ),Welcome U ! This group is for Wipro selected candidates. Will provide more information  very soon.,165.0
167,2020-02-29 14:19:06,Sagar Chaudhary ( 895925977.0 ),Can anyone plz help me regarding this . Please,162.0
168,2020-02-29 14:19:27,Sagar Chaudhary ( 895925977.0 ),?🎂,
172,2020-02-29 19:23:38,,"Just wait with patience. We completed our interviews before Feb 20, till waiting for offer letters.",162.0
174,2020-02-29 19:26:29,Sagar Chaudhary ( 895925977.0 ),Getting bvg tab means i am selected sure ?,172.0
175,2020-02-29 19:30:01,Sagar Chaudhary ( 895925977.0 ),Can anyone plz suggest this ?,
176,2020-02-29 19:35:29,ka;hoil ( 730583697.0 ),you 95% chance of getting LOI,174.0
177,2020-02-29 19:35:41,ka;hoil ( 730583697.0 ),*you have,
178,2020-02-29 19:43:21,Sagar Chaudhary ( 895925977.0 ),Ok,
189,2020-03-03 15:47:58,Sayan Ghosh ( 1019444942.0 ),"How to download the PBLApp?
Can anyone send me the link?",
190,2020-03-03 15:48:19,shivani ( 721105467.0 ),Don't download,189.0
191,2020-03-03 15:48:34,shivani ( 721105467.0 ),Go for this,
192,2020-03-03 15:49:02,shivani ( 721105467.0 ), http://59.162.104.101:25000/PBLApp/trainee.jsp,
193,2020-03-03 15:49:17,Sayan Ghosh ( 1019444942.0 ),Ok,
194,2020-03-03 15:49:39,shivani ( 721105467.0 ),And login it by using yr resume number,
195,2020-03-03 15:50:00,Sagar Chaudhary ( 895925977.0 ),Anyone from kolkata got LOI,
196,2020-03-03 15:50:08,Sagar Chaudhary ( 895925977.0 ),In the 2nd phase,
197,2020-03-03 15:50:53,Sayan Ghosh ( 1019444942.0 ),👍,194.0
198,2020-03-03 15:51:18,Sagar Chaudhary ( 895925977.0 ),Today my background verification tab is removed,
199,2020-03-03 16:05:23,Sayan Ghosh ( 1019444942.0 ),In userid we have to give the resume number right?,194.0
200,2020-03-03 16:05:58,Sayan Ghosh ( 1019444942.0 ),I have entered the resume number and password but it is showing invalid username and password,
201,2020-03-03 16:06:39,Shubham Chaudhary ( 546326555.0 ),Use resume no for both id and pass.,200.0
202,2020-03-03 16:06:55,shivani ( 721105467.0 ),No g,200.0
203,2020-03-03 16:07:09,shivani ( 721105467.0 ),Give both same,
204,2020-03-03 16:07:16,shivani ( 721105467.0 ),Resume number only,
205,2020-03-03 16:08:07,Sayan Ghosh ( 1019444942.0 ),"Yupp!!!!
It had opened😄
Thanks",
206,2020-03-03 16:24:19,shivani ( 721105467.0 ),What stream u got,205.0
207,2020-03-03 16:31:24,Sayan Ghosh ( 1019444942.0 ),"Java-PJP
And what's yours?",206.0
208,2020-03-03 16:37:26,shivani ( 721105467.0 ),Same here,207.0
209,2020-03-03 16:39:14,Shobhit Verma ( 626940960.0 ),Mine also bro,200.0
210,2020-03-03 16:40:13,Shobhit Verma ( 626940960.0 ),Same bro BGV also removed,198.0
211,2020-03-03 16:43:33,Sagar Chaudhary ( 895925977.0 ),Don't know what to do now😓,210.0
216,2020-03-03 20:56:19,Arshad Mohammad ( 793293878.0 ),Hi everyone,
217,2020-03-03 20:57:03,Arshad Mohammad ( 793293878.0 ),"My synergy portal is not opening...it says that user account has been locked .
What should I do?please help me guys.",
218,2020-03-03 21:28:04,dinesh ( 1028913947.0 ),reset your password  brother it will open,217.0
219,2020-03-04 00:33:41,Shobhit Verma ( 626940960.0 ),Anyone have any idea.. Is that mean selection?,
221,2020-03-04 00:37:40,Shubham Chaudhary ( 546326555.0 ),Yes,219.0
222,2020-03-04 00:38:15,Shobhit Verma ( 626940960.0 ),Ohk.. 👍,
225,2020-03-04 07:17:53,Varun Surisetty ( 892249766.0 ),Thnkq,
227,2020-03-04 07:20:22,Refrin ( 757416344.0 ),Yes,219.0
230,2020-03-04 11:54:27,AYUSH Kumar ( 739361554.0 ),me today!,195.0
231,2020-03-04 12:36:34,ka;hoil ( 730583697.0 ),hey how to login in wipro pbl ?,
232,2020-03-04 12:36:50,ka;hoil ( 730583697.0 ),site for wipro pjp,231.0
233,2020-03-04 13:07:24,dinesh ( 1028913947.0 ),search for pbl App in google and than open the first link use your resume number as username and password it will be opened,231.0
234,2020-03-04 13:07:44,dinesh ( 1028913947.0 ),open*,
235,2020-03-04 21:20:39,muthu ( 911182215.0 ),Is bgv and joining location and offer tab back  for  everyone?,
236,2020-03-04 21:29:03,Arshad Mohammad ( 793293878.0 ),Bro now it says user does not exist...what should I do now?,218.0
239,2020-03-04 21:33:08,dinesh ( 1028913947.0 ),try to reset your password two three times it will open for sure,236.0
240,2020-03-04 21:48:06,Its Me ( 790906626.0 ),Try in incognito mode,236.0
241,2020-03-04 21:48:12,Its Me ( 790906626.0 ),It will work,
242,2020-03-04 21:48:28,Its Me ( 790906626.0 ),After two to three days it will work automatically,
243,2020-03-05 06:36:03,Uhanjali Malladi ( 773948252.0 ),"It is no opening, showing invalid username or password,I kept my resume number and password same",233.0
244,2020-03-05 06:37:50,@Ganesh Kumar Reddy ( 621792621.0 ),Try to change password,243.0
245,2020-03-05 06:45:21,Its Me ( 790906626.0 ),Resume number is password,243.0
246,2020-03-05 10:47:18,shivani ( 721105467.0 ),How to login this  discussion form,
247,2020-03-05 12:21:11,dinesh ( 1028913947.0 ),guys how to start assesment link in pjp,
248,2020-03-05 12:22:02,dinesh ( 1028913947.0 ),try in another mode,243.0
249,2020-03-05 12:54:35,shivani ( 721105467.0 ),Go to pblapp and login by your resume id,247.0
250,2020-03-05 13:12:41,dinesh ( 1028913947.0 ),after login where is self assement link,
251,2020-03-05 15:31:33,shivani ( 721105467.0 ),Go to java fundamental option,250.0
252,2020-03-05 15:31:46,shivani ( 721105467.0 ),Hands-on assignment are there,
253,2020-03-05 15:49:59,dinesh ( 1028913947.0 ),ok thankz,
257,2020-03-05 16:39:58,Praneti Kore ( 835217980.0 ),Is it mandatory to study only Java for WIPRO,
258,2020-03-05 16:40:09,Praneti Kore ( 835217980.0 ),They said that all profiles will be open for candidates,
259,2020-03-05 16:42:30,dinesh ( 1028913947.0 ),The stream provided in core is mandatory apart from that if you want to learn more than you can check foundation course,258.0
260,2020-03-05 16:51:44,Praneti Kore ( 835217980.0 ),Okay,
261,2020-03-05 17:37:55,@Ganesh Kumar Reddy ( 621792621.0 ),Anyone here got Java ??in pjp,
262,2020-03-05 17:43:34,Praneti Kore ( 835217980.0 ),I got,
264,2020-03-05 17:56:50,dinesh ( 1028913947.0 ),i got too,261.0
265,2020-03-05 17:57:08,dinesh ( 1028913947.0 ),did u started it?,260.0
267,2020-03-05 17:58:52,muthu ( 911182215.0 ),Pjp java group,
277,2020-03-05 22:13:40,ka;hoil ( 730583697.0 ),"hey my id is not being accepted by the wipro pbl app, what to do?",
278,2020-03-05 22:13:54,Praneti Kore ( 835217980.0 ),Did everyone upload passport?,
279,2020-03-05 22:14:04,Shubham Chaudhary ( 546326555.0 ),Nope,278.0
280,2020-03-05 22:14:09,ka;hoil ( 730583697.0 ),yes,278.0
281,2020-03-05 22:14:30,Shubham Chaudhary ( 546326555.0 ),"I want to upload passport, But my bgv tab is disappeared.",
282,2020-03-05 22:15:22,Praneti Kore ( 835217980.0 ),I don't have passport what should I do? Will they wait till I get one?,
283,2020-03-05 22:16:03,ka;hoil ( 730583697.0 ),is there anyone whose bg tab reappeared even you have submitted all your documents?,
284,2020-03-05 22:16:55,Shubham Chaudhary ( 546326555.0 ),Just upload whatever you've and submit it.,282.0
285,2020-03-05 22:17:07,Praneti Kore ( 835217980.0 ),And remaining?,
286,2020-03-05 22:17:11,Shubham Chaudhary ( 546326555.0 ),Afterwards they send clarification.,
287,2020-03-05 22:17:17,Shubham Chaudhary ( 546326555.0 ),Upload it later,
288,2020-03-05 22:22:54,Praneti Kore ( 835217980.0 ),Okay,
