id,type,date,actor,actor_id,action,title,text,members,from,from_id,message_id,reply_to_message_id,photo,width,height,edited,poll,forwarded_from,via_bot,file,mime_type,thumbnail,media_type,sticker_emoji,contact_information,contact_vcard
1,service,2020-02-23T11:17:35,Refrin,757416344,migrate_from_group,Wipro NLTH Pipeline,,,,,,,,,,,,,,,,,,,,
2,service,2020-02-23T11:26:16,Refrin,757416344,invite_members,,,['Group Help'],,,,,,,,,,,,,,,,,,
5,service,2020-02-23T11:28:26,Shubham Pawar,967564527,invite_members,,,['Shubham Pawar'],,,,,,,,,,,,,,,,,,
7,service,2020-02-23T11:30:19,Sayan Ghosh,1019444942,invite_members,,,['Sayan Ghosh'],,,,,,,,,,,,,,,,,,
9,service,2020-02-23T11:31:48,Abhishek,508514369,invite_members,,,['Abhishek'],,,,,,,,,,,,,,,,,,
11,service,2020-02-23T11:39:24,Srijith,868834488,invite_members,,,['Srijith'],,,,,,,,,,,,,,,,,,
13,service,2020-02-23T11:48:00,Ravula Rohit,404062026,invite_members,,,['Ravula Rohit'],,,,,,,,,,,,,,,,,,
15,service,2020-02-23T12:26:50,Nani..,935902225,invite_members,,,['Nani..'],,,,,,,,,,,,,,,,,,
17,service,2020-02-23T12:33:28,G S,356725194,invite_members,,,['G S'],,,,,,,,,,,,,,,,,,
19,service,2020-02-23T12:43:06,😎😎,847870161,invite_members,,,['😎😎'],,,,,,,,,,,,,,,,,,
20,service,2020-02-23T13:21:32,Jakiya,960663248,invite_members,,,['Jakiya'],,,,,,,,,,,,,,,,,,
22,service,2020-02-23T13:44:28,Swaroopa Rajarapu,464007136,invite_members,,,['Swaroopa Rajarapu'],,,,,,,,,,,,,,,,,,
24,service,2020-02-23T14:05:36,SRINU PULA,901139952,invite_members,,,['SRINU PULA'],,,,,,,,,,,,,,,,,,
26,service,2020-02-23T14:37:39,Shobhit Verma,626940960,invite_members,,,['Shobhit Verma'],,,,,,,,,,,,,,,,,,
27,service,2020-02-23T14:41:14,Soujanya,847130290,invite_members,,,['Soujanya'],,,,,,,,,,,,,,,,,,
28,service,2020-02-23T14:47:13,D,701315490,invite_members,,,['D'],,,,,,,,,,,,,,,,,,
30,service,2020-02-23T15:08:39,Pavani,1094238824,invite_members,,,['Pavani'],,,,,,,,,,,,,,,,,,
31,service,2020-02-23T16:34:04,Revanth Ravi Shankar,989156024,invite_members,,,['Revanth Ravi Shankar'],,,,,,,,,,,,,,,,,,
33,service,2020-02-23T16:34:29,Revanth Ravi Shankar,989156024,remove_members,,,['Revanth Ravi Shankar'],,,,,,,,,,,,,,,,,,
34,service,2020-02-23T16:51:33,Saniya,659952274,invite_members,,,['Saniya'],,,,,,,,,,,,,,,,,,
35,service,2020-02-23T17:03:27,Dia Ghosh,921953524,invite_members,,,['Dia Ghosh'],,,,,,,,,,,,,,,,,,
37,service,2020-02-23T17:28:24,Anil Kumar,815014225,invite_members,,,['Anil Kumar'],,,,,,,,,,,,,,,,,,
39,message,2020-02-23T17:28:35,,,,,"L
K",,Anil Kumar,815014225,,,,,,,,,,,,,,,,
40,service,2020-02-23T17:57:51,LOOSER,562215722,invite_members,,,['LOOSER'],,,,,,,,,,,,,,,,,,
43,service,2020-02-23T22:01:48,Refrin,757416344,pin_message,,,,,,42,,,,,,,,,,,,,,,
44,service,2020-02-23T22:35:27,Rajesh 129,750667427,invite_members,,,['Rajesh 129'],,,,,,,,,,,,,,,,,,
